# O-CO2 state-resolved inelastic channels at energy index 37
# Generated by compute_inelastic_tables.py
ji,jf,sigma_cm2,delta_E_eV
0,80,4.8847300000e-17,3.1350158398e-01
0,82,4.4410600000e-17,3.2927342292e-01
0,84,4.0623670000e-17,3.4543230086e-01
0,86,4.6590470000e-17,3.6197821780e-01
0,88,4.7645530000e-17,3.7891117372e-01
0,90,4.8592630000e-17,3.9623116864e-01
0,92,4.3388630000e-17,4.1393820255e-01
0,94,4.1357930000e-17,4.3203227545e-01
0,96,3.8768970000e-17,4.5051338735e-01
0,98,4.6729200000e-17,4.6938153823e-01
0,100,6.5819070000e-17,4.8863672811e-01
1,3,5.1463870000e-16,4.8379874071e-04
1,5,2.3785500000e-16,1.3546364740e-03
1,7,2.1317900000e-16,2.6125131998e-03
1,9,1.5431570000e-16,4.2574289182e-03
1,11,1.3587170000e-16,6.2893836292e-03
1,13,1.3035500000e-16,8.7083773327e-03
1,15,1.1323930000e-16,1.1514410029e-02
1,17,1.0483510000e-16,1.4707481717e-02
1,19,1.0265770000e-16,1.8287592399e-02
1,21,8.8437000000e-17,2.2254742072e-02
1,23,8.9564330000e-17,2.6608930739e-02
1,25,8.7443930000e-17,3.1350158398e-02
1,27,7.7089930000e-17,3.6478425049e-02
1,29,8.2460900000e-17,4.1993730693e-02
1,31,7.8178370000e-17,4.7896075330e-02
1,33,7.1949900000e-17,5.4185458959e-02
1,35,7.4945530000e-17,6.0861881581e-02
1,37,7.4058630000e-17,6.7925343195e-02
1,39,6.2371330000e-17,7.5375843802e-02
1,41,6.8254130000e-17,8.3213383401e-02
1,43,7.2431970000e-17,9.1437961993e-02
1,45,6.2719230000e-17,1.0004957958e-01
1,47,6.0094230000e-17,1.0904823616e-01
1,49,6.4873500000e-17,1.1843393172e-01
1,51,6.1156830000e-17,1.2820666629e-01
1,53,5.3173270000e-17,1.3836643984e-01
1,55,5.8058830000e-17,1.4891325239e-01
1,57,5.3356330000e-17,1.5984710393e-01
1,59,5.6372530000e-17,1.7116799446e-01
1,61,5.6346600000e-17,1.8287592399e-01
1,63,5.9017630000e-17,1.9497089250e-01
1,65,5.6605830000e-17,2.0745290001e-01
1,67,5.5033370000e-17,2.2032194652e-01
1,69,5.1531130000e-17,2.3357803201e-01
1,71,5.6209600000e-17,2.4722115650e-01
1,73,5.1039330000e-17,2.6125131998e-01
1,75,4.7476500000e-17,2.7566852245e-01
1,77,4.7617230000e-17,2.9047276392e-01
1,79,4.8812100000e-17,3.0566404438e-01
1,81,4.7262000000e-17,3.2124236383e-01
1,83,4.3975170000e-17,3.3720772227e-01
1,85,4.5068030000e-17,3.5356011971e-01
1,87,4.4465070000e-17,3.7029955614e-01
1,89,4.8461570000e-17,3.8742603156e-01
1,91,4.5556100000e-17,4.0493954597e-01
1,93,4.1516700000e-17,4.2284009938e-01
1,95,3.5103600000e-17,4.4112769178e-01
1,97,4.7053830000e-17,4.5980232317e-01
1,99,6.8807400000e-17,4.7886399355e-01
2,0,1.3629100000e-16,-2.9027924442e-04
2,4,4.8361370000e-16,6.7731823699e-04
2,6,2.2531870000e-16,1.7416754665e-03
2,8,1.8887100000e-16,3.1930716887e-03
2,10,1.5534970000e-16,5.0315069033e-03
2,12,1.3195300000e-16,7.2569811106e-03
2,14,1.2267170000e-16,9.8694943104e-03
2,16,1.1703630000e-16,1.2869046503e-02
2,18,9.9091630000e-17,1.6255637688e-02
2,20,9.8903070000e-17,2.0029267865e-02
2,22,8.8976200000e-17,2.4189937035e-02
2,24,8.5973730000e-17,2.8737645198e-02
2,26,8.1518470000e-17,3.3672392353e-02
2,28,8.2093670000e-17,3.8994178501e-02
2,30,7.5729070000e-17,4.4703003641e-02
2,32,7.4451530000e-17,5.0798867774e-02
2,34,7.5430900000e-17,5.7281770900e-02
2,36,7.1347870000e-17,6.4151713018e-02
2,38,7.0838100000e-17,7.1408694128e-02
2,40,6.4897830000e-17,7.9052714231e-02
2,42,6.8990570000e-17,8.7083773327e-02
2,44,6.4556770000e-17,9.5501871415e-02
2,46,6.1386770000e-17,1.0430700850e-01
2,48,5.9838800000e-17,1.1349918457e-01
2,50,5.8823330000e-17,1.2307839964e-01
2,52,5.8432170000e-17,1.3304465369e-01
2,54,5.1877100000e-17,1.4339794675e-01
2,56,6.0150530000e-17,1.5413827879e-01
2,58,5.4344270000e-17,1.6526564983e-01
2,60,5.6951900000e-17,1.7678005985e-01
2,62,5.5325200000e-17,1.8868150888e-01
2,64,5.8857770000e-17,2.0096999689e-01
2,66,5.2863900000e-17,2.1364552390e-01
2,68,5.6316100000e-17,2.2670808989e-01
2,70,5.4312530000e-17,2.4015769489e-01
2,72,5.0564230000e-17,2.5399433887e-01
2,74,5.0367830000e-17,2.6821802185e-01
2,76,4.9785670000e-17,2.8282874382e-01
2,78,5.2412230000e-17,2.9782650478e-01
2,80,4.9689270000e-17,3.1321130473e-01
2,82,4.6317530000e-17,3.2898314368e-01
2,84,4.2684130000e-17,3.4514202162e-01
2,86,4.5227900000e-17,3.6168793855e-01
2,88,4.6032170000e-17,3.7862089448e-01
2,90,4.6802330000e-17,3.9594088939e-01
2,92,4.2594130000e-17,4.1364792330e-01
2,94,3.9429030000e-17,4.3174199621e-01
2,96,3.6587600000e-17,4.5022310810e-01
2,98,4.4401500000e-17,4.6909125899e-01
2,100,6.7156130000e-17,4.8834644887e-01
3,1,2.2058330000e-16,-4.8379874071e-04
3,5,4.6153700000e-16,8.7083773327e-04
3,7,2.1411670000e-16,2.1287144591e-03
3,9,1.8552470000e-16,3.7736301775e-03
3,11,1.5146270000e-16,5.8055848885e-03
3,13,1.2227100000e-16,8.2245785920e-03
3,15,1.2554800000e-16,1.1030611288e-02
3,17,1.1041340000e-16,1.4223682977e-02
3,19,9.6672800000e-17,1.7803793658e-02
3,21,1.0100840000e-16,2.1770943332e-02
3,23,9.2946230000e-17,2.6125131998e-02
3,25,8.3092730000e-17,3.0866359657e-02
3,27,8.6596170000e-17,3.5994626309e-02
3,29,8.3330700000e-17,4.1509931953e-02
3,31,7.0679330000e-17,4.7412276589e-02
3,33,7.6423270000e-17,5.3701660218e-02
3,35,6.9773270000e-17,6.0378082840e-02
3,37,6.8911100000e-17,6.7441544454e-02
3,39,6.6835200000e-17,7.4892045061e-02
3,41,6.7318930000e-17,8.2729584661e-02
3,43,6.4681400000e-17,9.0954163253e-02
3,45,6.3562630000e-17,9.9565780837e-02
3,47,6.2640600000e-17,1.0856443741e-01
3,49,6.1834000000e-17,1.1795013298e-01
3,51,6.1342730000e-17,1.2772286755e-01
3,53,5.3184370000e-17,1.3788264110e-01
3,55,5.6820730000e-17,1.4842945365e-01
3,57,5.4542570000e-17,1.5936330519e-01
3,59,5.6172200000e-17,1.7068419572e-01
3,61,5.3935300000e-17,1.8239212525e-01
3,63,5.9714470000e-17,1.9448709376e-01
3,65,5.5939800000e-17,2.0696910127e-01
3,67,5.4722670000e-17,2.1983814778e-01
3,69,5.2751930000e-17,2.3309423327e-01
3,71,5.4208270000e-17,2.4673735776e-01
3,73,5.2252970000e-17,2.6076752124e-01
3,75,5.0833170000e-17,2.7518472371e-01
3,77,5.0639770000e-17,2.8998896518e-01
3,79,4.9093100000e-17,3.0518024564e-01
3,81,4.8457470000e-17,3.2075856509e-01
3,83,4.6475470000e-17,3.3672392353e-01
3,85,4.6387970000e-17,3.5307632097e-01
3,87,4.6467430000e-17,3.6981575740e-01
3,89,4.9300800000e-17,3.8694223282e-01
3,91,4.3968830000e-17,4.0445574723e-01
3,93,4.0227000000e-17,4.2235630064e-01
3,95,3.6717800000e-17,4.4064389304e-01
3,97,4.6637870000e-17,4.5931852443e-01
3,99,6.8798000000e-17,4.7838019481e-01
4,0,2.6456270000e-17,-9.6759748141e-04
4,2,2.6871470000e-16,-6.7731823699e-04
4,6,4.4644870000e-16,1.0643572296e-03
4,8,2.1153930000e-16,2.5157534517e-03
4,10,1.8060730000e-16,4.3541886664e-03
4,12,1.4346330000e-16,6.5796628736e-03
4,14,1.2525030000e-16,9.1921760734e-03
4,16,1.1894670000e-16,1.2191728266e-02
4,18,1.0414380000e-16,1.5578319451e-02
4,20,9.5547870000e-17,1.9351949628e-02
4,22,9.7449070000e-17,2.3512618798e-02
4,24,8.3801000000e-17,2.8060326961e-02
4,26,8.4937800000e-17,3.2995074116e-02
4,28,8.2937000000e-17,3.8316860264e-02
4,30,7.9879530000e-17,4.4025685404e-02
4,32,7.3847800000e-17,5.0121549537e-02
4,34,7.6143800000e-17,5.6604452663e-02
4,36,6.9770970000e-17,6.3474394781e-02
4,38,6.8310170000e-17,7.0731375891e-02
4,40,6.6606700000e-17,7.8375395994e-02
4,42,6.4015800000e-17,8.6406455090e-02
4,44,6.3143830000e-17,9.4824553178e-02
4,46,6.2667670000e-17,1.0362969026e-01
4,48,6.1347130000e-17,1.1282186633e-01
4,50,5.9773100000e-17,1.2240108140e-01
4,52,5.9564730000e-17,1.3236733546e-01
4,54,5.3707570000e-17,1.4272062851e-01
4,56,5.8358070000e-17,1.5346096055e-01
4,58,5.5591400000e-17,1.6458833159e-01
4,60,5.4323730000e-17,1.7610274162e-01
4,62,5.2843970000e-17,1.8800419064e-01
4,64,5.6979330000e-17,2.0029267865e-01
4,66,5.4411770000e-17,2.1296820566e-01
4,68,5.5395000000e-17,2.2603077166e-01
4,70,5.4989330000e-17,2.3948037665e-01
4,72,5.3072600000e-17,2.5331702063e-01
4,74,5.1139670000e-17,2.6754070361e-01
4,76,4.9680200000e-17,2.8215142558e-01
4,78,4.9739330000e-17,2.9714918654e-01
4,80,4.9928530000e-17,3.1253398650e-01
4,82,4.8039970000e-17,3.2830582544e-01
4,84,4.6179730000e-17,3.4446470338e-01
4,86,4.7034870000e-17,3.6101062031e-01
4,88,4.5815230000e-17,3.7794357624e-01
4,90,4.7636170000e-17,3.9526357116e-01
4,92,4.4873830000e-17,4.1297060507e-01
4,94,4.0264730000e-17,4.3106467797e-01
4,96,3.6585500000e-17,4.4954578986e-01
4,98,4.4007900000e-17,4.6841394075e-01
4,100,6.7527930000e-17,4.8766913063e-01
5,1,6.4889100000e-17,-1.3546364740e-03
5,3,2.9376230000e-16,-8.7083773327e-04
5,7,4.4243830000e-16,1.2578767258e-03
5,9,2.0648630000e-16,2.9027924442e-03
5,11,1.7472130000e-16,4.9347471552e-03
5,13,1.4358670000e-16,7.3537408587e-03
5,15,1.2283670000e-16,1.0159773555e-02
5,17,1.1552500000e-16,1.3352845243e-02
5,19,1.0487030000e-16,1.6932955925e-02
5,21,9.7335730000e-17,2.0900105599e-02
5,23,9.3758270000e-17,2.5254294265e-02
5,25,8.7859600000e-17,2.9995521924e-02
5,27,8.2868700000e-17,3.5123788575e-02
5,29,8.2418600000e-17,4.0639094219e-02
5,31,7.7884600000e-17,4.6541438856e-02
5,33,7.2999900000e-17,5.2830822485e-02
5,35,7.4167830000e-17,5.9507245107e-02
5,37,6.9662070000e-17,6.6570706721e-02
5,39,6.6298870000e-17,7.4021207328e-02
5,41,6.6340070000e-17,8.1858746927e-02
5,43,6.3944670000e-17,9.0083325519e-02
5,45,6.2880630000e-17,9.8694943104e-02
5,47,6.2426900000e-17,1.0769359968e-01
5,49,6.1848600000e-17,1.1707929525e-01
5,51,6.0952930000e-17,1.2685202981e-01
5,53,5.6392970000e-17,1.3701180337e-01
5,55,5.9782170000e-17,1.4755861592e-01
5,57,5.5480030000e-17,1.5849246746e-01
5,59,5.6811000000e-17,1.6981335799e-01
5,61,5.2958470000e-17,1.8152128751e-01
5,63,5.7171600000e-17,1.9361625603e-01
5,65,5.8023170000e-17,2.0609826354e-01
5,67,5.7409000000e-17,2.1896731004e-01
5,69,5.4446030000e-17,2.3222339554e-01
5,71,5.2887970000e-17,2.4586652003e-01
5,73,5.3067070000e-17,2.5989668351e-01
5,75,5.1072230000e-17,2.7431388598e-01
5,77,5.0240030000e-17,2.8911812745e-01
5,79,4.9042130000e-17,3.0430940790e-01
5,81,4.7514570000e-17,3.1988772735e-01
5,83,4.5327330000e-17,3.3585308580e-01
5,85,4.7877830000e-17,3.5220548323e-01
5,87,4.7410500000e-17,3.6894491966e-01
5,89,4.9405230000e-17,3.8607139508e-01
5,91,4.4578400000e-17,4.0358490950e-01
5,93,4.0453900000e-17,4.2148546290e-01
5,95,3.7829200000e-17,4.3977305530e-01
5,97,4.5029500000e-17,4.5844768669e-01
5,99,6.8453370000e-17,4.7750935708e-01
6,0,1.7970030000e-17,-2.0319547110e-03
6,2,8.6694570000e-17,-1.7416754665e-03
6,4,3.0915330000e-16,-1.0643572296e-03
6,8,4.3487630000e-16,1.4513962221e-03
6,10,1.9951470000e-16,3.2898314368e-03
6,12,1.7451930000e-16,5.5153056441e-03
6,14,1.3956430000e-16,8.1278188439e-03
6,16,1.1680500000e-16,1.1127371036e-02
6,18,1.1383730000e-16,1.4513962221e-02
6,20,1.0385200000e-16,1.8287592399e-02
6,22,9.3106270000e-17,2.2448261569e-02
6,24,9.3643730000e-17,2.6995969731e-02
6,26,8.4699400000e-17,3.1930716887e-02
6,28,8.0350670000e-17,3.7252503034e-02
6,30,8.2552800000e-17,4.2961328175e-02
6,32,7.4641930000e-17,4.9057192308e-02
6,34,7.2155900000e-17,5.5540095433e-02
6,36,7.3971730000e-17,6.2410037551e-02
6,38,7.0228470000e-17,6.9667018662e-02
6,40,6.5733000000e-17,7.7311038765e-02
6,42,6.8136170000e-17,8.5342097861e-02
6,44,6.2982830000e-17,9.3760195949e-02
6,46,6.2575170000e-17,1.0256533303e-01
6,48,6.1893630000e-17,1.1175750910e-01
6,50,5.9075970000e-17,1.2133672417e-01
6,52,5.9411400000e-17,1.3130297823e-01
6,54,5.6789470000e-17,1.4165627128e-01
6,56,5.8597200000e-17,1.5239660332e-01
6,58,5.3497900000e-17,1.6352397436e-01
6,60,5.6600130000e-17,1.7503838439e-01
6,62,5.2782530000e-17,1.8693983341e-01
6,64,5.6328430000e-17,1.9922832142e-01
6,66,5.6269370000e-17,2.1190384843e-01
6,68,5.6094530000e-17,2.2496641443e-01
6,70,5.4360400000e-17,2.3841601942e-01
6,72,5.2654700000e-17,2.5225266340e-01
6,74,5.0825400000e-17,2.6647634638e-01
6,76,4.9774030000e-17,2.8108706835e-01
6,78,5.0684200000e-17,2.9608482931e-01
6,80,5.0674800000e-17,3.1146962927e-01
6,82,4.6989000000e-17,3.2724146821e-01
6,84,4.5343830000e-17,3.4340034615e-01
6,86,4.7714500000e-17,3.5994626309e-01
6,88,4.7075900000e-17,3.7687921901e-01
6,90,4.7985930000e-17,3.9419921393e-01
6,92,4.4039070000e-17,4.1190624784e-01
6,94,4.0393230000e-17,4.3000032074e-01
6,96,3.6853930000e-17,4.4848143263e-01
6,98,4.3955630000e-17,4.6734958352e-01
6,100,6.7882800000e-17,4.8660477340e-01
7,1,4.2660600000e-17,-2.6125131998e-03
7,3,9.9968430000e-17,-2.1287144591e-03
7,5,3.2454530000e-16,-1.2578767258e-03
7,9,4.2844500000e-16,1.6449157184e-03
7,11,2.0094400000e-16,3.6768704294e-03
7,13,1.7137030000e-16,6.0958641329e-03
7,15,1.3726270000e-16,8.9018968290e-03
7,17,1.1797870000e-16,1.2094968518e-02
7,19,1.1146500000e-16,1.5675079199e-02
7,21,1.0241720000e-16,1.9642228873e-02
7,23,9.3461670000e-17,2.3996417539e-02
7,25,9.3823500000e-17,2.8737645198e-02
7,27,8.3835530000e-17,3.3865911849e-02
7,29,8.2469600000e-17,3.9381217493e-02
7,31,7.9009700000e-17,4.5283562130e-02
7,33,7.5712330000e-17,5.1572945759e-02
7,35,7.1602600000e-17,5.8249368381e-02
7,37,7.3234370000e-17,6.5312829995e-02
7,39,6.8040130000e-17,7.2763330602e-02
7,41,6.5735400000e-17,8.0600870202e-02
7,43,6.6994170000e-17,8.8825448794e-02
7,45,6.3407400000e-17,9.7437066378e-02
7,47,6.2444430000e-17,1.0643572296e-01
7,49,6.1457470000e-17,1.1582141853e-01
7,51,6.1209600000e-17,1.2559415309e-01
7,53,5.5848700000e-17,1.3575392664e-01
7,55,5.9035200000e-17,1.4630073919e-01
7,57,5.6129630000e-17,1.5723459073e-01
7,59,5.6540430000e-17,1.6855548126e-01
7,61,5.3829500000e-17,1.8026341079e-01
7,63,5.8187270000e-17,1.9235837930e-01
7,65,5.7051530000e-17,2.0484038682e-01
7,67,5.5724970000e-17,2.1770943332e-01
7,69,5.5780900000e-17,2.3096551881e-01
7,71,5.3507900000e-17,2.4460864330e-01
7,73,5.1744130000e-17,2.5863880678e-01
7,75,5.0509270000e-17,2.7305600925e-01
7,77,5.1213000000e-17,2.8786025072e-01
7,79,5.0980630000e-17,3.0305153118e-01
7,81,4.8171300000e-17,3.1862985063e-01
7,83,4.6201330000e-17,3.3459520907e-01
7,85,4.9330900000e-17,3.5094760651e-01
7,87,4.7322630000e-17,3.6768704294e-01
7,89,4.9091370000e-17,3.8481351836e-01
7,91,4.4700670000e-17,4.0232703277e-01
7,93,4.0069270000e-17,4.2022758618e-01
7,95,3.7572570000e-17,4.3851517858e-01
7,97,4.5238400000e-17,4.5718980997e-01
7,99,6.9218330000e-17,4.7625148035e-01
8,0,1.0604100000e-17,-3.4833509331e-03
8,2,5.5589730000e-17,-3.1930716887e-03
8,4,1.1205420000e-16,-2.5157534517e-03
8,6,3.3266000000e-16,-1.4513962221e-03
8,10,4.2633930000e-16,1.8384352147e-03
8,12,1.9833030000e-16,4.0639094219e-03
8,14,1.6774530000e-16,6.6764226217e-03
8,16,1.3554070000e-16,9.6759748141e-03
8,18,1.1622030000e-16,1.3062565999e-02
8,20,1.1018830000e-16,1.6836196177e-02
8,22,1.0215450000e-16,2.0996865347e-02
8,24,9.2257730000e-17,2.5544573509e-02
8,26,9.0967700000e-17,3.0479320664e-02
8,28,8.4358400000e-17,3.5801106812e-02
8,30,8.1173170000e-17,4.1509931953e-02
8,32,7.6314330000e-17,4.7605796085e-02
8,34,7.4473570000e-17,5.4088699211e-02
8,36,7.1811500000e-17,6.0958641329e-02
8,38,6.9997870000e-17,6.8215622440e-02
8,40,6.6891900000e-17,7.5859642543e-02
8,42,6.5310130000e-17,8.3890701638e-02
8,44,6.6051130000e-17,9.2308799727e-02
8,46,6.3827630000e-17,1.0111393681e-01
8,48,6.0987330000e-17,1.1030611288e-01
8,50,6.1486070000e-17,1.1988532795e-01
8,52,6.2342870000e-17,1.2985158201e-01
8,54,5.6378300000e-17,1.4020487506e-01
8,56,5.7779870000e-17,1.5094520710e-01
8,58,5.4769500000e-17,1.6207257814e-01
8,60,5.4692500000e-17,1.7358698817e-01
8,62,5.3746900000e-17,1.8548843719e-01
8,64,5.6938330000e-17,1.9777692520e-01
8,66,5.4467430000e-17,2.1045245221e-01
8,68,5.5804870000e-17,2.2351501821e-01
8,70,5.6084830000e-17,2.3696462320e-01
8,72,5.3641230000e-17,2.5080126718e-01
8,74,5.1681170000e-17,2.6502495016e-01
8,76,5.1624230000e-17,2.7963567213e-01
8,78,5.1359070000e-17,2.9463343309e-01
8,80,5.0537530000e-17,3.1001823304e-01
8,82,4.7411200000e-17,3.2579007199e-01
8,84,4.5855800000e-17,3.4194894993e-01
8,86,4.7669800000e-17,3.5849486686e-01
8,88,4.6732230000e-17,3.7542782279e-01
8,90,4.7956170000e-17,3.9274781771e-01
8,92,4.4114870000e-17,4.1045485162e-01
8,94,4.0369170000e-17,4.2854892452e-01
8,96,3.8073670000e-17,4.4703003641e-01
8,98,4.4389600000e-17,4.6589818730e-01
8,100,6.7578570000e-17,4.8515337718e-01
9,1,2.4388670000e-17,-4.2574289182e-03
9,3,6.8408730000e-17,-3.7736301775e-03
9,5,1.1962170000e-16,-2.9027924442e-03
9,7,3.3837030000e-16,-1.6449157184e-03
9,11,3.7873400000e-16,2.0319547110e-03
9,13,1.7097600000e-16,4.4509484145e-03
9,15,1.4866100000e-16,7.2569811106e-03
9,17,1.2042570000e-16,1.0450052799e-02
9,19,9.8968030000e-17,1.4030163480e-02
9,21,1.0006430000e-16,1.7997313154e-02
9,23,8.7934830000e-17,2.2351501821e-02
9,25,8.0975100000e-17,2.7092729480e-02
9,27,8.1189630000e-17,3.2220996131e-02
9,29,7.5169570000e-17,3.7736301775e-02
9,31,7.0618000000e-17,4.3638646412e-02
9,33,7.1156900000e-17,4.9928030041e-02
9,35,6.8480700000e-17,5.6604452663e-02
9,37,6.3241630000e-17,6.3667914277e-02
9,39,6.6463530000e-17,7.1118414884e-02
9,41,6.0032430000e-17,7.8955954483e-02
9,43,5.8745900000e-17,8.7180533075e-02
9,45,5.8824130000e-17,9.5792150660e-02
9,47,5.6912100000e-17,1.0479080724e-01
9,49,5.4169670000e-17,1.1417650281e-01
9,51,5.7149370000e-17,1.2394923737e-01
9,53,5.1668270000e-17,1.3410901092e-01
9,55,5.3967100000e-17,1.4465582347e-01
9,57,5.2704000000e-17,1.5558967501e-01
9,59,5.0702100000e-17,1.6691056554e-01
9,61,4.9662570000e-17,1.7861849507e-01
9,63,5.3155470000e-17,1.9071346359e-01
9,65,5.1129600000e-17,2.0319547110e-01
9,67,5.0359030000e-17,2.1606451760e-01
9,69,5.3771370000e-17,2.2932060309e-01
9,71,5.1650600000e-17,2.4296372758e-01
9,73,4.8508670000e-17,2.5699389106e-01
9,75,4.7732170000e-17,2.7141109354e-01
9,77,4.8327330000e-17,2.8621533500e-01
9,79,4.6265030000e-17,3.0140661546e-01
9,81,4.4056970000e-17,3.1698493491e-01
9,83,4.3603370000e-17,3.3295029335e-01
9,85,4.5767470000e-17,3.4930269079e-01
9,87,4.3947430000e-17,3.6604212722e-01
9,89,4.5646470000e-17,3.8316860264e-01
9,91,4.1243200000e-17,4.0068211705e-01
9,93,3.8311500000e-17,4.1858267046e-01
9,95,3.5515170000e-17,4.3687026286e-01
9,97,4.1868100000e-17,4.5554489425e-01
9,99,6.2255430000e-17,4.7460656463e-01
10,0,6.2263200000e-18,-5.3217861478e-03
10,2,3.7029470000e-17,-5.0315069033e-03
10,4,7.7478300000e-17,-4.3541886664e-03
10,6,1.2359970000e-16,-3.2898314368e-03
10,8,3.4527330000e-16,-1.8384352147e-03
10,12,3.4785770000e-16,2.2254742072e-03
10,14,1.5391430000e-16,4.8379874071e-03
10,16,1.3362770000e-16,7.8375395994e-03
10,18,1.0564470000e-16,1.1224130784e-02
10,20,9.0793370000e-17,1.4997760962e-02
10,22,8.8211070000e-17,1.9158430132e-02
10,24,8.0054200000e-17,2.3706138295e-02
10,26,7.2865430000e-17,2.8640885450e-02
10,28,7.1813430000e-17,3.3962671598e-02
10,30,6.6054970000e-17,3.9671496738e-02
10,32,6.1147200000e-17,4.5767360871e-02
10,34,6.3085400000e-17,5.2250263996e-02
10,36,6.0500400000e-17,5.9120206114e-02
10,38,5.5833100000e-17,6.6377187225e-02
10,40,5.7029100000e-17,7.4021207328e-02
10,42,5.2902070000e-17,8.2052266424e-02
10,44,5.3597030000e-17,9.0470364512e-02
10,46,5.1807030000e-17,9.9275501593e-02
10,48,4.8762330000e-17,1.0846767767e-01
10,50,4.9376770000e-17,1.1804689273e-01
10,52,5.1255170000e-17,1.2801314679e-01
10,54,4.6080500000e-17,1.3836643984e-01
10,56,4.7552470000e-17,1.4910677189e-01
10,58,4.5205070000e-17,1.6023414292e-01
10,60,4.4890070000e-17,1.7174855295e-01
10,62,4.3465900000e-17,1.8365000197e-01
10,64,4.6137200000e-17,1.9593848999e-01
10,66,4.4677670000e-17,2.0861401699e-01
10,68,4.5010200000e-17,2.2167658299e-01
10,70,4.5938700000e-17,2.3512618798e-01
10,72,4.4607670000e-17,2.4896283197e-01
10,74,4.2830970000e-17,2.6318651494e-01
10,76,4.3595270000e-17,2.7779723691e-01
10,78,4.0654800000e-17,2.9279499788e-01
10,80,3.9935700000e-17,3.0817979783e-01
10,82,3.9042330000e-17,3.2395163678e-01
10,84,3.7889470000e-17,3.4011051472e-01
10,86,3.9375270000e-17,3.5665643165e-01
10,88,3.6987800000e-17,3.7358938757e-01
10,90,3.8393400000e-17,3.9090938249e-01
10,92,3.5059370000e-17,4.0861641640e-01
10,94,3.2810970000e-17,4.2671048930e-01
10,96,3.0950500000e-17,4.4519160120e-01
10,98,3.5395370000e-17,4.6405975209e-01
10,100,5.0274530000e-17,4.8331494197e-01
11,1,1.7747270000e-17,-6.2893836292e-03
11,3,4.6156930000e-17,-5.8055848885e-03
11,5,8.3654300000e-17,-4.9347471552e-03
11,7,1.3115770000e-16,-3.6768704294e-03
11,9,3.1300900000e-16,-2.0319547110e-03
11,13,3.2038200000e-16,2.4189937035e-03
11,15,1.3699700000e-16,5.2250263996e-03
11,17,1.2108630000e-16,8.4180980883e-03
11,19,9.7778570000e-17,1.1998208770e-02
11,21,8.3348400000e-17,1.5965358443e-02
11,23,7.8422200000e-17,2.0319547110e-02
11,25,7.3628800000e-17,2.5060774769e-02
11,27,6.4459830000e-17,3.0189041420e-02
11,29,6.5754870000e-17,3.5704347064e-02
11,31,5.8988630000e-17,4.1606691701e-02
11,33,5.6683470000e-17,4.7896075330e-02
11,35,5.6800530000e-17,5.4572497952e-02
11,37,5.2104300000e-17,6.1635959566e-02
11,39,5.1218430000e-17,6.9086460173e-02
11,41,5.1533630000e-17,7.6923999772e-02
11,43,4.9746930000e-17,8.5148578364e-02
11,45,4.7049500000e-17,9.3760195949e-02
11,47,4.8138700000e-17,1.0275885253e-01
11,49,4.5054230000e-17,1.1214454810e-01
11,51,4.5404830000e-17,1.2191728266e-01
11,53,4.2576270000e-17,1.3207705621e-01
11,55,4.5823870000e-17,1.4262386876e-01
11,57,4.2775800000e-17,1.5355772030e-01
11,59,4.3057030000e-17,1.6487861083e-01
11,61,4.1833470000e-17,1.7658654036e-01
11,63,4.2721230000e-17,1.8868150888e-01
