#0.1eV differential cross sections for H-H2 elastic collisions from Krstic and Shultz. 1998,
#angle(deg),sigma(cm^2)
12.18068165,3.88E-15
12.36614809,3.78E-15
12.55293233,3.78E-15
12.74097708,3.88E-15
12.93033963,4.06E-15
13.12096269,4.32E-15
13.31290355,4.65E-15
13.50610492,5.04E-15
13.70062409,5.47E-15
13.89640377,5.94E-15
14.09338666,6.44E-15
14.29174465,6.96E-15
14.49130585,7.47E-15
14.69212756,7.99E-15
14.89420977,8.48E-15
15.09755249,8.95E-15
15.30215572,9.38E-15
15.50801946,9.77E-15
15.7150864,1.01E-14
15.92341386,1.04E-14
16.13300182,1.06E-14
16.34379299,1.08E-14
16.55584467,1.09E-14
16.76909956,1.09E-14
16.98361496,1.09E-14
17.19927628,1.08E-14
17.4161981,1.07E-14
17.63438043,1.05E-14
17.85370867,1.03E-14
18.07424013,9.98E-15
18.29603209,9.68E-15
18.51896997,9.35E-15
18.74311106,9.01E-15
18.96845536,8.66E-15
19.19500287,8.31E-15
19.4226963,7.96E-15
19.65159294,7.63E-15
19.88163549,7.31E-15
20.11288126,7.02E-15
20.34527294,6.75E-15
20.57881054,6.52E-15
20.81355134,6.32E-15
21.04943807,6.16E-15
21.28647071,6.03E-15
21.52464926,5.93E-15
21.76397374,5.87E-15
22.00444412,5.84E-15
22.24606042,5.84E-15
22.48882264,5.86E-15
22.73267348,5.91E-15
22.97767023,5.97E-15
23.22375561,6.05E-15
23.47098689,6.14E-15
23.7193068,6.23E-15
23.96877263,6.32E-15
24.21932707,6.41E-15
24.47097013,6.50E-15
24.72370182,6.57E-15
24.97752212,6.64E-15
25.23248834,6.69E-15
25.48848588,6.73E-15
25.74551475,6.75E-15
26.00368953,6.76E-15
26.26289564,6.75E-15
26.52319036,6.73E-15
26.78457371,6.70E-15
27.04698838,6.65E-15
27.31043438,6.59E-15
27.57491169,6.53E-15
27.84047763,6.46E-15
28.10707489,6.39E-15
28.37470348,6.32E-15
28.64336339,6.24E-15
28.91299733,6.17E-15
29.18371989,6.11E-15
29.45541647,6.05E-15
29.72814438,6.00E-15
30.00190362,5.95E-15
30.27663688,5.92E-15
30.55234417,5.89E-15
30.82908279,5.87E-15
31.10679543,5.86E-15
31.3854821,5.86E-15
31.6652001,5.86E-15
31.94583483,5.87E-15
32.22744358,5.88E-15
32.51002637,5.89E-15
32.79358318,5.91E-15
33.07811402,5.92E-15
33.36356159,5.93E-15
33.6499832,5.93E-15
33.93732153,5.93E-15
34.2255766,5.93E-15
34.51480569,5.92E-15
34.80495152,5.90E-15
35.09601408,5.88E-15
35.38799337,5.86E-15
35.6808894,5.83E-15
35.97470215,5.80E-15
36.26937435,5.76E-15
36.56502057,5.72E-15
36.86152623,5.69E-15
37.15889132,5.65E-15
37.45717315,5.62E-15
37.75631442,5.59E-15
38.05631512,5.56E-15
38.35723255,5.54E-15
38.65895213,5.53E-15
38.96158844,5.51E-15
39.26502688,5.51E-15
39.56932477,5.50E-15
39.87448209,5.50E-15
40.18049885,5.51E-15
40.48731775,5.51E-15
40.79493879,5.52E-15
41.10341926,5.53E-15
41.41270188,5.53E-15
41.72278664,5.54E-15
42.03373084,5.54E-15
42.34541988,5.54E-15
42.65791106,5.53E-15
42.97120438,5.53E-15
43.28529984,5.51E-15
43.60014015,5.50E-15
43.9157826,5.48E-15
44.23222719,5.46E-15
44.54935933,5.44E-15
44.86729361,5.41E-15
45.18603003,5.39E-15
45.505454,5.36E-15
45.82562282,5.33E-15
46.14653648,5.31E-15
46.46819499,5.29E-15
46.79054104,5.27E-15
47.11368924,5.25E-15
47.43746769,5.23E-15
47.76199099,5.22E-15
48.08725913,5.21E-15
48.41315752,5.20E-15
48.73980076,5.19E-15
49.06713155,5.18E-15
49.39514988,5.18E-15
49.72379848,5.17E-15
50.05313462,5.17E-15
50.38315831,5.17E-15
50.71386955,5.16E-15
51.04521104,5.16E-15
51.37718279,5.15E-15
51.70984208,5.15E-15
52.04313163,5.14E-15
52.37705143,5.13E-15
52.71154419,5.12E-15
53.0467245,5.11E-15
53.38253507,5.10E-15
53.71891859,5.08E-15
54.05587507,5.07E-15
54.3935191,5.06E-15
54.73167879,5.04E-15
55.07046873,5.03E-15
55.40983163,5.01E-15
55.74976749,5.00E-15
56.09033361,4.98E-15
56.43141538,4.97E-15
56.77301282,4.95E-15
57.11524051,4.94E-15
57.45792657,4.93E-15
57.80112829,4.91E-15
58.14490297,4.90E-15
58.4892506,4.89E-15
58.83417119,4.88E-15
59.17966474,4.87E-15
59.52573125,4.86E-15
59.87237072,4.85E-15
60.21901018,4.84E-15
60.56679557,4.83E-15
60.91458095,4.82E-15
61.26293929,4.81E-15
61.61187058,4.80E-15
61.96137484,4.79E-15
62.31087909,4.78E-15
62.66152926,4.76E-15
63.01217944,4.75E-15
63.36340256,4.74E-15
63.71462569,4.73E-15
64.06699474,4.71E-15
64.41936378,4.70E-15
64.77230578,4.68E-15
65.12582074,4.67E-15
65.47990866,4.66E-15
65.83399658,4.64E-15
66.18865745,4.63E-15
66.54331833,4.61E-15
66.89912512,4.60E-15
67.25435895,4.58E-15
67.6107387,4.57E-15
67.96711845,4.56E-15
68.32407115,4.54E-15
68.68159682,4.53E-15
69.03912248,4.52E-15
69.3972211,4.51E-15
69.75531973,4.50E-15
70.11399131,4.48E-15
70.47323584,4.47E-15
70.83248038,4.46E-15
71.19172492,4.45E-15
71.55211537,4.43E-15
71.91193287,4.42E-15
72.27289628,4.41E-15
72.63385969,4.39E-15
72.9948231,4.38E-15
73.35635947,4.36E-15
73.71789584,4.35E-15
74.08000516,4.33E-15
74.44211449,4.32E-15
74.80479677,4.30E-15
75.16747906,4.29E-15
75.53016134,4.27E-15
75.89341659,4.26E-15
76.25724479,4.24E-15
76.62107299,4.23E-15
76.98490118,4.21E-15
77.34872938,4.20E-15
77.71313054,4.19E-15
78.07810466,4.17E-15
78.44250582,4.16E-15
78.80747993,4.15E-15
79.173027,4.14E-15
79.53800112,4.12E-15
79.90354819,4.11E-15
80.26909527,4.10E-15
80.6352153,4.08E-15
81.00133533,4.07E-15
81.36745536,4.06E-15
81.73357539,4.04E-15
82.10026838,4.03E-15
82.46638841,4.01E-15
82.8330814,4.00E-15
83.19977439,3.98E-15
83.56704034,3.97E-15
83.93373332,3.95E-15
84.30099927,3.94E-15
84.66826522,3.92E-15
85.03553116,3.91E-15
85.40279711,3.89E-15
85.77063602,3.88E-15
86.13790196,3.86E-15
86.50574087,3.85E-15
86.87357977,3.83E-15
87.24084572,3.82E-15
87.60868462,3.80E-15
87.97652353,3.79E-15
88.34436243,3.77E-15
88.71220134,3.76E-15
89.08004024,3.74E-15
89.44787914,3.73E-15
89.81629101,3.71E-15
90.18412991,3.70E-15
90.55196882,3.69E-15
90.91980772,3.67E-15
91.28764662,3.66E-15
91.65548553,3.64E-15
92.02332443,3.62E-15
92.39116334,3.61E-15
92.75900224,3.59E-15
93.12684115,3.58E-15
93.49410709,3.56E-15
93.861946,3.55E-15
94.22921195,3.53E-15
94.59705085,3.51E-15
94.9643168,3.50E-15
95.33158274,3.48E-15
95.69884869,3.47E-15
96.06611464,3.45E-15
96.43280763,3.44E-15
96.80007357,3.42E-15
97.16676656,3.41E-15
97.53345955,3.39E-15
97.90015254,3.38E-15
98.26627257,3.36E-15
98.63296556,3.35E-15
98.99908559,3.33E-15
99.36463266,3.32E-15
99.73075269,3.30E-15
100.0962998,3.29E-15
100.4618468,3.27E-15
100.8273939,3.26E-15
101.192368,3.24E-15
101.5573421,3.23E-15
101.9223163,3.21E-15
102.2867174,3.20E-15
102.6511186,3.18E-15
103.0149468,3.17E-15
103.3793479,3.15E-15
103.7426032,3.13E-15
104.1064314,3.12E-15
104.4696866,3.10E-15
104.8323689,3.09E-15
105.1956241,3.07E-15
105.5577335,3.06E-15
105.9198428,3.04E-15
106.2819521,3.03E-15
106.6440614,3.01E-15
107.0050249,3.00E-15
107.3665612,2.98E-15
107.7275246,2.97E-15
108.0879151,2.95E-15
108.4483055,2.94E-15
108.808123,2.92E-15
109.1673676,2.91E-15
109.5271851,2.89E-15
109.8858567,2.88E-15
110.2445282,2.86E-15
110.6026269,2.85E-15
110.9607255,2.83E-15
111.3182511,2.82E-15
111.6757768,2.80E-15
112.0327295,2.79E-15
112.3891093,2.77E-15
112.745489,2.76E-15
113.1012958,2.74E-15
113.4565296,2.73E-15
113.8117635,2.71E-15
114.1664243,2.70E-15
114.5205123,2.68E-15
114.8740272,2.67E-15
115.2275422,2.65E-15
115.5804842,2.64E-15
115.9328532,2.62E-15
116.2852223,2.61E-15
116.6370184,2.59E-15
116.9882415,2.58E-15
117.3388917,2.56E-15
117.6889689,2.55E-15
118.0390461,2.53E-15
118.3879774,2.52E-15
118.7369087,2.50E-15
119.085267,2.49E-15
119.4336254,2.47E-15
119.7808378,2.46E-15
120.1280502,2.44E-15
120.4741167,2.43E-15
120.8201832,2.42E-15
121.1656768,2.40E-15
121.5105974,2.39E-15
121.854945,2.37E-15
122.1987197,2.36E-15
122.5419214,2.34E-15
122.8845502,2.33E-15
123.2271789,2.31E-15
123.5686618,2.30E-15
123.9095716,2.29E-15
124.2504815,2.27E-15
124.5902455,2.26E-15
124.9294365,2.24E-15
125.2680546,2.23E-15
125.6066726,2.21E-15
125.9441448,2.20E-15
126.281044,2.19E-15
126.6173702,2.17E-15
126.9531235,2.16E-15
127.2883038,2.14E-15
127.6229111,2.13E-15
127.9569455,2.12E-15
128.2904069,2.10E-15
128.6227225,2.09E-15
128.955038,2.07E-15
129.2862076,2.06E-15
129.6168042,2.05E-15
129.9468279,2.03E-15
130.2762787,2.02E-15
130.6051564,2.00E-15
130.9328883,1.99E-15
131.2600472,1.98E-15
131.5866331,1.96E-15
131.9126461,1.95E-15
132.2380862,1.94E-15
132.5623803,1.92E-15
132.8861014,1.91E-15
133.2092496,1.90E-15
133.5318249,1.88E-15
133.8532542,1.87E-15
134.1741105,1.86E-15
134.494394,1.84E-15
134.8141044,1.83E-15
135.1326689,1.82E-15
135.4506605,1.80E-15
135.7675062,1.79E-15
136.0843518,1.78E-15
136.4000516,1.76E-15
136.7146054,1.75E-15
137.0285863,1.74E-15
137.3419942,1.72E-15
137.6548292,1.71E-15
137.9665182,1.70E-15
138.2770613,1.69E-15
138.5870315,1.67E-15
138.8964287,1.66E-15
139.2052529,1.65E-15
139.5129313,1.64E-15
139.8194637,1.62E-15
140.1254232,1.61E-15
140.4308097,1.60E-15
140.7350503,1.58E-15
141.0387179,1.57E-15
141.3412396,1.56E-15
141.6426154,1.55E-15
141.9434183,1.53E-15
142.2436481,1.52E-15
142.5427321,1.51E-15
142.8412431,1.50E-15
143.1386082,1.49E-15
143.4348274,1.47E-15
143.7304736,1.46E-15
144.0255469,1.45E-15
144.3189013,1.44E-15
144.6122557,1.43E-15
144.9038912,1.41E-15
145.1949537,1.40E-15
145.4854433,1.39E-15
145.7742141,1.38E-15
146.0624118,1.37E-15
146.3500367,1.35E-15
146.6365156,1.34E-15
146.9218485,1.33E-15
147.2066086,1.32E-15
147.4902227,1.31E-15
147.7726909,1.30E-15
148.0540131,1.28E-15
148.3347625,1.27E-15
148.6143659,1.26E-15
148.8933963,1.25E-15
149.1707079,1.24E-15
149.4474465,1.23E-15
149.7236122,1.22E-15
149.9980589,1.21E-15
150.2719328,1.19E-15
150.5446607,1.18E-15
150.8162427,1.17E-15
151.0872517,1.16E-15
151.3565419,1.15E-15
151.6252591,1.14E-15
151.8928304,1.13E-15
152.1592557,1.12E-15
152.4251082,1.11E-15
152.6898147,1.10E-15
152.9528023,1.08E-15
153.215217,1.07E-15
153.4770587,1.06E-15
153.7371815,1.05E-15
153.9961584,1.04E-15
154.2545624,1.03E-15
154.5118204,1.02E-15
154.7673596,1.01E-15
155.0223258,1.00E-15
155.2761461,9.91E-16
155.5288205,9.81E-16
155.780922,9.70E-16
156.0313045,9.60E-16
156.2805412,9.50E-16
156.5292048,9.40E-16
156.7761497,9.30E-16
157.0225215,9.20E-16
157.2671745,9.10E-16
157.5112545,9.00E-16
157.7541886,8.91E-16
157.9954038,8.81E-16
158.2360461,8.71E-16
158.4755425,8.62E-16
158.71332,8.52E-16
158.9505245,8.42E-16
159.1865831,8.33E-16
159.4209228,8.23E-16
159.6546896,8.14E-16
159.8873105,8.05E-16
160.1182125,7.95E-16
160.3485415,7.86E-16
160.5771517,7.77E-16
160.8051889,7.68E-16
161.0315072,7.59E-16
161.2566796,7.50E-16
161.4812791,7.41E-16
161.7041596,7.32E-16
161.9258943,7.23E-16
162.1464831,7.14E-16
162.3653529,7.05E-16
162.5836499,6.96E-16
162.8008009,6.87E-16
163.016233,6.79E-16
163.2310922,6.70E-16
163.4442325,6.62E-16
163.6562269,6.53E-16
163.8670753,6.45E-16
164.0767779,6.36E-16
164.2847616,6.28E-16
164.4921723,6.20E-16
164.6978641,6.11E-16
164.9024101,6.03E-16
165.1058101,5.95E-16
165.3080642,5.87E-16
165.5085994,5.79E-16
165.7085617,5.71E-16
165.9068051,5.63E-16
166.1039026,5.55E-16
166.2992812,5.47E-16
166.4940868,5.39E-16
166.6871736,5.32E-16
166.8791145,5.24E-16
167.0699094,5.16E-16
167.2589855,5.09E-16
167.4469156,5.01E-16
167.6336999,4.94E-16
167.8193382,4.86E-16
168.0032576,4.79E-16
168.1866041,4.72E-16
168.3682318,4.64E-16
168.5481405,4.57E-16
168.7269033,4.50E-16
168.9045203,4.43E-16
169.0809913,4.36E-16
169.2563163,4.29E-16
169.4299226,4.22E-16
169.6018099,4.15E-16
169.7731243,4.08E-16
169.9427198,4.01E-16
170.1111694,3.95E-16
170.2779001,3.88E-16
170.4434849,3.81E-16
170.6079238,3.75E-16
170.7712168,3.68E-16
170.9327909,3.62E-16
171.0926461,3.55E-16
171.2519283,3.49E-16
171.4094917,3.43E-16
171.5653363,3.36E-16
171.7206078,3.30E-16
171.8735876,3.24E-16
172.0259943,3.18E-16
172.1766822,3.12E-16
172.3262242,3.06E-16
172.4740473,3.00E-16
172.6207245,2.94E-16
172.7656828,2.89E-16
172.9094952,2.83E-16
173.0521617,2.77E-16
173.1931094,2.71E-16
173.3329111,2.66E-16
173.4709939,2.60E-16
173.6079308,2.55E-16
173.7431488,2.50E-16
173.877221,2.44E-16
174.0101472,2.39E-16
174.1413545,2.34E-16
174.2714159,2.28E-16
174.3997585,2.23E-16
174.5269551,2.18E-16
174.6524329,2.13E-16
174.7767647,2.08E-16
174.8993777,2.03E-16
175.0208447,1.99E-16
175.1405929,1.94E-16
175.2591952,1.89E-16
175.3766515,1.84E-16
175.492389,1.80E-16
175.6064076,1.75E-16
175.7192803,1.71E-16
175.8304341,1.66E-16
175.940442,1.62E-16
176.049304,1.58E-16
176.1564471,1.53E-16
176.2618713,1.49E-16
176.3661496,1.45E-16
176.4687091,1.41E-16
176.5701226,1.37E-16
176.6698173,1.33E-16
176.768366,1.29E-16
176.8657688,1.25E-16
176.9608798,1.21E-16
177.0548449,1.17E-16
177.1476641,1.14E-16
177.2387643,1.10E-16
177.3287187,1.07E-16
177.4169542,1.03E-16
177.5034708,9.95E-17
177.5888416,9.61E-17
177.6730664,9.28E-17
177.7549993,8.95E-17
177.8363593,8.63E-17
177.9154275,8.31E-17
177.9933498,8.00E-17
178.0701261,7.69E-17
178.1451836,7.40E-17
178.2185222,7.10E-17
178.2907149,6.81E-17
178.3611887,6.53E-17
178.4305166,6.26E-17
178.4981256,5.99E-17
178.5645887,5.72E-17
178.6293329,5.47E-17
178.6923583,5.21E-17
178.7542377,4.97E-17
178.8143983,4.73E-17
178.8734129,4.49E-17
178.9307087,4.26E-17
178.9862856,4.04E-17
179.0407166,3.83E-17
179.0934287,3.61E-17
179.1449949,3.41E-17
179.1948423,3.21E-17
179.2429707,3.02E-17
179.2899533,2.83E-17
179.3352169,2.65E-17
179.3793347,2.48E-17
179.4217335,2.31E-17
179.4624135,2.14E-17
179.5019476,1.99E-17
179.5397629,1.84E-17
179.5758592,1.69E-17
179.6108096,1.55E-17
179.6446141,1.42E-17
179.6761268,1.29E-17
179.7070665,1.17E-17
179.7357144,1.05E-17
179.7632164,9.44E-18
179.7889995,8.41E-18
179.8136367,7.44E-18
179.836555,6.52E-18
179.8577544,5.67E-18
179.877808,4.87E-18
179.8961426,4.14E-18
179.9133313,3.46E-18
179.9282282,2.85E-18
179.9425522,2.30E-18
179.9545843,1.80E-18
179.9654705,1.37E-18
179.9752108,9.92E-19
179.9832322,6.77E-19
179.9895347,4.22E-19
179.9941184,2.27E-19
179.9975561,9.26E-20
179.999275,1.76E-20
